iter	Passed	Remaining
0	3	311
1	6	333
2	8	276
3	9	236
4	12	228
5	13	215
6	16	222
7	18	208
8	19	202
9	22	202
10	23	190
11	24	179
12	25	171
13	26	163
14	27	157
15	28	151
16	29	145
17	30	140
18	31	136
19	32	131
20	33	127
21	34	123
22	35	119
23	36	116
24	37	112
25	38	109
26	39	106
27	40	104
28	41	101
29	42	99
30	43	97
31	44	94
32	45	92
33	46	90
34	47	89
35	49	87
36	50	85
37	51	83
38	52	81
39	53	80
40	54	78
41	54	75
42	56	74
43	57	72
44	58	71
45	59	70
46	61	68
47	62	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	73	51
59	74	49
60	75	48
61	76	47
62	77	45
63	79	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	115	3
97	116	2
98	117	1
99	118	0
