iter	Passed	Remaining
0	145	145810
1	147	73679
2	148	49447
3	149	37321
4	150	30024
5	152	25188
6	152	21702
7	154	19142
8	155	17175
9	158	15689
10	159	14342
11	160	13224
12	161	12276
13	162	11455
14	163	10745
15	164	10132
16	165	9584
17	166	9097
18	167	8658
19	169	8287
20	170	7952
21	171	7640
22	172	7343
23	173	7071
24	175	6827
25	176	6597
26	177	6383
27	178	6186
28	179	6003
29	180	5826
30	181	5664
31	182	5511
32	183	5377
33	184	5251
34	186	5135
35	187	5015
36	188	4906
37	189	4799
38	190	4696
39	191	4603
40	193	4521
41	194	4437
42	195	4356
43	197	4283
44	202	4287
45	205	4268
46	208	4222
47	212	4206
48	218	4245
49	220	4188
50	222	4132
51	223	4080
52	225	4029
53	233	4084
54	236	4058
55	237	4011
56	239	3969
57	243	3960
58	245	3916
59	247	3871
60	248	3829
61	249	3781
62	251	3735
63	252	3692
64	253	3649
65	255	3615
66	257	3592
67	259	3558
68	260	3521
69	262	3487
70	264	3458
71	265	3426
72	267	3396
73	269	3368
74	271	3347
75	273	3329
76	275	3300
77	277	3276
78	278	3251
79	280	3226
80	282	3200
81	283	3179
82	284	3147
83	287	3139
84	290	3127
85	292	3108
86	293	3085
87	295	3061
88	299	3064
89	303	3066
90	304	3045
91	306	3024
92	307	3001
93	311	2999
94	312	2980
95	314	2959
96	315	2938
97	318	2930
98	320	2914
99	321	2897
100	323	2880
101	324	2861
102	326	2844
103	328	2826
104	329	2807
105	330	2788
106	332	2777
107	334	2763
108	336	2748
109	337	2734
110	339	2722
111	341	2707
112	343	2694
113	344	2678
114	347	2673
115	349	2661
116	350	2647
117	352	2637
118	354	2622
119	355	2608
120	357	2593
121	358	2576
122	359	2564
123	362	2560
124	364	2551
125	368	2557
126	370	2544
127	371	2530
128	372	2517
129	374	2503
130	375	2489
131	376	2477
132	378	2464
133	379	2450
134	380	2436
135	381	2423
136	382	2410
137	383	2397
138	384	2384
139	385	2370
140	386	2357
141	387	2342
142	388	2330
143	390	2318
144	391	2307
145	392	2296
146	393	2284
147	394	2272
148	395	2260
149	396	2249
150	398	2238
151	399	2226
152	400	2215
153	401	2204
154	402	2193
155	403	2182
156	404	2170
157	405	2160
158	406	2151
159	407	2141
160	408	2129
161	409	2119
162	410	2109
163	412	2100
164	413	2090
165	414	2080
166	415	2070
167	416	2060
168	417	2050
169	418	2041
170	419	2031
171	420	2023
172	421	2016
173	423	2008
174	424	2000
175	425	1993
176	426	1984
177	428	1977
178	429	1969
179	430	1960
180	431	1952
181	432	1943
182	433	1935
183	434	1927
184	436	1922
185	437	1915
186	439	1909
187	440	1901
188	441	1895
189	442	1887
190	444	1880
191	445	1874
192	446	1867
193	447	1860
194	448	1852
195	449	1845
196	451	1839
197	454	1840
198	455	1832
199	456	1825
200	457	1818
201	458	1811
202	459	1805
203	460	1798
204	461	1791
205	463	1785
206	464	1778
207	465	1773
208	467	1768
209	468	1762
210	469	1755
211	470	1749
212	471	1742
213	472	1736
214	473	1729
215	474	1723
216	475	1716
217	476	1710
218	477	1704
219	478	1698
220	480	1693
221	481	1688
222	482	1682
223	484	1677
224	485	1671
225	486	1665
226	487	1660
227	488	1654
228	489	1648
229	490	1643
230	491	1637
231	493	1632
232	494	1626
233	495	1622
234	496	1617
235	497	1612
236	499	1606
237	500	1601
238	501	1596
239	502	1590
240	503	1585
241	504	1580
242	505	1575
243	506	1569
244	507	1564
245	508	1559
246	510	1555
247	511	1552
248	513	1547
249	514	1542
250	514	1536
